,RPE1.T18,RPE1.T24
SLC16A1_SLC16A3,0.42622177521211707,0.4882114757267842
MDM4_TP53,3.283424884177981,3.768230331638666
APC_CTNNB1,-0.34725565857782853,-1.9205140017972369
BRAF_MAP2K1,-0.28276215268301497,0.2166856269785331
CCNE1_CDK2,0.4035680539483209,0.5490911582169341
BRAF_PEA15,1.724364480526312,1.5639878303046595
CBFB_RUNX1,-1.1516594845892814,-1.6171664069661162
SMARCA2_SMARCA4,-1.2440995384063793,-1.0176417988503084
BRD4_KDM4C,1.3781242656963164,1.1404918669569317
BRD4_KDM6B,-0.23060234980324296,-0.059130232679364715
SRRM1_SRRM2,0.6123986999925761,0.47754113591252334
TRA2A_TRA2B,-2.7960105077894766,-2.4170530091454228
PAIP1_PAIP2,0.3818199898906954,0.20189459547278224
EIF4E_EIF4E2,1.6586168678573685,1.9027258824133113
ENO1_ENO2,-1.4824345740698666,-1.915009229915546
ENO1_ENO3,0.2079547193353703,0.19439488865441365
ENO2_ENO3,-0.8289337214772622,-0.9855815576369451
CREBBP_EP300,-0.009514273614587688,-0.32527995056651227
BCL2L1_BCL2L2,0.5064710148141931,0.43789430968654636
BCL2L1_MCL1,-0.6521902517851352,-0.5596452984633676
PARP1_PARP2,0.07234459404172891,-0.4443103482088764
MAPK1_MAPK3,0.960954853683433,1.1577293137157194
MDM2_TP53,4.048295296014077,2.941186136914968
ABHD12_ABHD12B,0.9040169198347877,1.1407793040294036
ABL1_ABL2,-1.8053867834951178,-1.6552705056261703
DMWD_WDR20,0.9138387881120085,1.001105821231945
HNRNPL_HNRNPLL,-0.5378629233867832,-0.3236459780390308
ACBD3_TMED8,1.1653398009412264,1.4873842519405645
ACBD7_DBI,-1.8751851989001496,-1.734915600699199
ACSL1_ACSL6,0.1490820667493334,0.15943781482921607
ACTR1A_ACTR1B,0.3798623371589298,0.9939167130821965
ACVR2A_ACVR2B,-2.2884770943621677,-2.154066252712365
ADAMTS10_ADAMTS6,-1.3077176792727512,-1.2154995037191478
ADAMTSL1_ADAMTSL3,-1.7649632853055441,-1.708766776755241
ADAP1_ADAP2,-0.35473328973106805,-0.35940694397749334
ADSS_ADSSL1,-0.4971245106320913,-0.6768479004439123
AGPAT3_AGPAT4,1.513696307288724,1.8834703736820066
AHCYL1_AHCYL2,-1.1803564966079816,-1.2216067142750933
AHNAK_AHNAK2,-0.778538166805716,-0.2828532449816511
AHSA1_AHSA2,-0.4509580206158629,-0.43255011804810484
AJUBA_WTIP,0.2711590913374588,0.20179882616658087
AK1_AK5,-0.7519789751355376,-0.7466136561987092
AK3_AK4,0.1755819570980226,-0.010549071836430527
ALMS1_C10orf90,0.590188860172537,-0.44037676873511367
AMOT_AMOTL2,0.03507314466099812,-0.16218231934632107
ANK2_ANK3,-1.3309808974978792,-1.0647034648551552
ANKRD11_ANKRD12,-0.06639089602712449,-0.6161049614820769
ANO4_ANO5,-1.172380022824187,-1.1950994700015105
ANXA5_ANXA6,-0.4291255151518195,-0.5269269383186614
AP1B1_AP2B1,0.26103388082560547,0.5794382643355681
AP1G1_AP1G2,0.914376172476744,1.1946830132727033
AP2A1_AP2A2,-0.29672913957631875,0.030953853617014245
AP3B1_AP3B2,1.2096961149163876,1.0253026249476822
APBA2_APBA3,-0.029901557091001313,-0.08670677940767277
APBB2_APBB3,2.63059608633113,2.2861298283698455
APH1A_APH1B,0.5677931283551653,0.3162915398195562
APLP1_APLP2,2.1526800953500858,2.2156453567425625
ARAP2_ARAP3,-0.1516807085284531,-0.0651251379051883
ARF4_ARF5,-0.9256595513155905,-0.32772534434767747
ARFGEF1_ARFGEF2,-1.230072645641631,-0.9636066053068423
ARHGAP22_ARHGAP24,1.1509434683956612,1.2204688523610698
ARHGAP31_ARHGAP33,-1.2036654703208545,-1.5456203122639058
ARHGEF1_ARHGEF12,-0.27788296909303173,-0.206391640229227
ARHGEF6_ARHGEF7,0.23898581705292038,0.15116408249380642
ARHGEF37_DNMBP,-1.4726326776972627,-1.309568034585824
ARID1A_ARID1B,-0.6867822450825181,-0.6081182760717109
ARL8A_ARL8B,0.8235941335777388,0.5971629411631084
ARNT_ARNT2,-0.1049618711205659,0.08877542005213393
ARPC5_ARPC5L,0.31856062534531643,0.36855285262758203
ARPP19_ENSA,-0.8081416283267356,-0.582243015183823
ATAD2_ATAD2B,-0.35054268233071495,0.25919153695053726
ATF3_JDP2,0.5472410608883601,0.4270273139481282
ATF6_ATF6B,-0.5137251690485497,0.15536707934400137
ATG4A_ATG4B,2.3128164080407028,2.1885117808055266
ATG4C_ATG4D,0.38539750701516573,0.0353246316858907
ATG16L1_ATG16L2,1.2620976964567685,1.4932198822213305
ATP6V0A1_ATP6V0A4,-0.24206796064657432,0.9382908115988999
ATP6V0A2_TCIRG1,1.6008422697875946,1.580246816759854
ATP6V1C1_ATP6V1C2,1.9927276780929986,2.193558413625581
ATP8A1_ATP8A2,1.181394402631768,1.029337247361325
ATP9A_ATP9B,0.552494141128989,0.7278714576542035
ATRN_ATRNL1,-1.1138475278501805,-1.042783505306974
ATXN1_ATXN1L,0.03637972730295957,0.362617786035214
ATXN7_ATXN7L2,0.09163480622608032,0.7076789612403226
AUH_ECHDC2,-0.12171320380364078,0.24793832668104618
AXIN1_AXIN2,0.40670726439703553,0.8828038157479611
B4GALT5_B4GALT6,0.2534987180072142,0.9842576216615754
BACH1_BACH2,-0.9844810578054604,-1.2901333226527016
BAG3_BAG4,-0.07055089085885606,-0.26576317767559354
BAIAP3_UNC13D,0.2909418141752442,0.4656664454977506
BANK1_PIK3AP1,-1.3588447953219298,-1.3945959118441633
BCOR_BCORL1,-1.2390505181251983,-1.3725982887217858
BEGAIN_TJAP1,-1.8977495389351204,-1.5595727965476667
BMI1_PCGF2,0.7023601770499859,0.7003317118143558
BMPR1A_BMPR1B,0.7981591807002593,0.9216729114223878
BRD7_BRD9,1.7430215937238185,1.8167146295849745
BRMS1_BRMS1L,-1.1036021186324276,-1.104561578184784
BTBD1_BTBD2,-0.7903700988772291,-0.22033330446589644
BTBD3_BTBD6,1.5455875089299038,1.4673516692158453
BTBD10_KCTD20,-0.08983140211466771,-0.17028828077286903
BTRC_FBXW11,-1.70768096718041,-2.290890807777214
CAB39_CAB39L,1.399314163056969,2.4244866376293777
CALB1_CALB2,-0.6047151107455574,-0.45951964499417064
CALM1_CALM2,0.7803079419402257,0.6771379969016489
CAMKK1_CAMKK2,0.6158536799211073,1.0156016456938406
CAND1_CAND2,-2.6497175965153223,-2.338650210127086
CANX_CLGN,-1.3172710231747915,-1.0086849521702435
CAPRIN1_CAPRIN2,-0.07491299439663376,-0.2506746838476184
CASKIN1_CASKIN2,0.09020472302151239,0.11858436930024759
CASP3_CASP7,-0.10920405056891354,-0.028784801134065594
CBX1_CBX5,-0.20041737678285812,0.2641776939137126
CC2D1A_CC2D1B,-0.04782107387117138,0.5288745284297544
CCDC102A_CCDC102B,0.16990297058499199,0.018802760558138967
CCNA1_CCNA2,-0.17203292629888883,-0.24330110310718242
CCNB1_CCNB2,-1.4102273196930704,-1.2794384433174248
CCND1_CCND2,-1.0845849370896008,-1.2606477528683653
CCNE1_CCNE2,0.2625088334024233,0.9048799140289273
CCNG1_CCNG2,0.003228843841645496,-0.08006818988142557
CCNJ_CCNJL,1.9119033323363657,1.6062287744634045
CCNL1_CCNL2,-1.7414792491981164,-1.8065038650754677
CCNT1_CCNT2,0.627424767559886,0.7435343542987805
CCNY_CCNYL1,1.9724276080958358,1.4526673301258044
CD151_TSPAN11,-0.2575449006613342,-0.551358888908477
CDC34_UBE2R2,-0.10505119379460773,0.2759693712191142
CDK2_CDK3,0.6716820163715148,0.9553281523515086
CDK2AP1_CDK2AP2,-1.7948029319836194,-1.8692790239378068
CDK12_CDK13,0.2760894994413108,0.052122553662083605
CDK14_CDK15,-0.41027245107271976,-0.8282564427372614
CDKL2_CDKL3,-0.5204123329887178,-0.7549102721333685
CEP85_CEP85L,-1.2907400482957618,-1.1316524316854126
CERS5_CERS6,-0.1933369666974256,0.4589721409974969
CHCHD3_CHCHD6,-1.091257957808143,-0.9752751889590655
CHD1_CHD2,-1.1856471037402072,-1.4574093495139235
CHD3_CHD5,-0.815848828468691,-0.39462831129436354
CHIC1_CHIC2,0.43183806949634657,0.16205907546848244
CHMP4A_CHMP4C,1.0001467770756227,1.4627717630185515
CHPF_CHPF2,2.508102031739711,2.0711620213638957
CHSY1_CHSY3,0.54724624163788,0.37381030217086947
CLCN3_CLCN4,-0.5211863209128138,-0.24228296285981699
CLIP1_CLIP2,-0.8464771141803766,-1.1739677813957539
CLOCK_NPAS2,0.5682919617667561,0.4404073589106585
CLTC_CLTCL1,0.1742233355089396,0.3164681992045622
CNKSR1_CNKSR3,-0.42466372115304774,-0.7484058047850244
CNOT7_CNOT8,-1.4348861364605618,-1.2544138508757676
COMP_THBS3,-0.13615471409136465,-0.3565304583149936
COPG1_COPG2,0.7474189198263589,0.6826744750948657
COPZ1_COPZ2,-1.2965923696814035,-0.6878006409971091
COQ10A_COQ10B,-1.2954899175586316,-1.778674238408666
CORO2A_CORO2B,0.3828766697255951,1.3743282796014353
CRABP1_CRABP2,-0.8216029782996143,-1.2231208864906382
CRELD1_CRELD2,0.16501760725534498,0.10580480576062418
CSAD_GADL1,-1.1740128416588589,-1.2191075577486727
CSNK1D_CSNK1E,-1.312733019179032,-1.3841250391929418
CSNK2A1_CSNK2A2,-1.5684539366260222,-1.6736826812875734
CTBP1_CTBP2,0.18591690870153696,0.29130743830273825
RAVER1_RAVER2,-0.9236086949470595,-0.8865927066594673
CTPS1_CTPS2,0.7631465385732409,0.9429930340282923
CUL4A_CUL4B,-1.9799567997637435,-2.0798530021925026
CUX1_CUX2,-1.3304119231779785,-1.6630084048338596
CYB5A_CYB5B,-0.10744112840878502,0.16460406532845026
DAAM1_DAAM2,0.3610513245896139,0.35263308940664817
DAB1_DAB2,0.30358210487187004,0.21502317654408834
DACH1_DACH2,0.8896942430835613,0.6412782649352455
DCHS1_DCHS2,0.4362264549325434,0.5751297466313328
DDHD2_SEC23IP,2.130702842231154,2.4307562838481593
DDR1_DDR2,0.9224068506271653,1.6794473224311262
DENND6A_DENND6B,-0.0031399352751471507,0.49211782024415945
DERL2_DERL3,-0.921223494258842,-0.9869543750803119
DHX32_DQX1,-0.7234247196524632,-1.0728731134159042
DHX58_IFIH1,-0.11347532496981624,0.21368302570259146
DIP2A_DIP2C,-0.2912819278475364,0.027835323440743326
DLG1_DLG4,0.4832451304176926,0.4752471871636927
DLG2_DLG3,1.529560666526926,1.566147139383771
DMRTA1_DMRTA2,1.0038408147070477,0.9012973417943287
DNAH11_DNAH17,1.5970342514899238,0.6879777079646022
DNAJA1_DNAJA4,-0.7390813454262629,-0.7868959859466161
DNAJC15_DNAJC19,-1.3637029867171315,-1.403402158052829
DOCK3_DOCK4,0.1064576611639845,0.1479243983498638
DOK1_DOK3,1.2662524277796965,1.724974823589913
DOPEY1_DOPEY2,0.17157675042404394,0.138942078614483
DST_MACF1,1.886522926812484,1.526595883149618
DUSP15_DUSP22,0.9366204063307337,0.42795113069458024
DUSP16_DUSP8,3.669573169163151,3.8344302834150565
DVL1_DVL3,-0.5530713011501665,-0.9124044366829507
DYNLL1_DYNLL2,0.5315549884686144,0.10687824201905154
DYRK2_DYRK3,-1.8403532252212833,-1.5168012774983113
E2F7_E2F8,1.1595676362885676,0.67549030246023
EBF1_EBF3,-1.0570035200400139,-1.7175527877870826
EEF1A1_EEF1A2,1.9659404051582965,2.01501681847441
EFHD1_EFHD2,1.288990164995729,0.8993101190905026
EGR2_EGR3,-0.7996516824241066,-0.4218021077578448
EHBP1_EHBP1L1,2.6810350015500175,1.8251867841496574
EIF1_EIF1B,-0.472231032860185,-0.8472262476287458
EIF4A1_EIF4A2,2.269987516479382,1.985645350846221
EIF4EBP1_EIF4EBP2,1.6409221594189531,1.085837704248948
EIF4G1_EIF4G3,0.22325750274125464,-0.06508614657072732
ELAVL1_ELAVL2,0.22498835329414882,0.533463909874258
ELK3_ELK4,-0.41143149939148393,-0.6246148974725868
ELMO2_ELMO3,-0.1340308990922097,-0.345978839092672
ELMOD1_ELMOD2,0.7349194386908273,1.2092230559067134
ELOVL1_ELOVL7,-0.05256942716480015,-0.22345775714391058
EMC8_EMC9,0.30845645507401787,0.5821834933935136
EME1_EME2,0.052273795831972454,0.4767573453098693
EMX1_EMX2,-0.26586889546554876,-0.09493166957359692
EN1_EN2,0.27056170710695066,-0.19012303759434285
ENOX1_ENOX2,-1.4774885846522663,-1.3109739317545641
ENTPD5_ENTPD6,-0.01156383034549645,0.5569442042823981
EP400_SRCAP,0.8031645923961693,1.2461771028407758
EPC1_EPC2,1.5273042756561694,1.5347365167555802
EPS15_EPS15L1,-0.5586320381884078,-0.5809685500052442
ERC1_ERC2,-0.9907181392236286,-0.7201755497883616
ERLIN1_ERLIN2,-0.16107561720264765,0.3035543818546076
ESRP1_ESRP2,-0.4385299659697791,-0.26706337165084315
ESYT2_ESYT3,-0.8062731307397792,-0.9059328754427808
ETS1_ETS2,-0.322136453202725,-0.4038857802915328
ETV1_ETV4,1.5568287209545135,0.5967643705880895
EXOC6_EXOC6B,-1.7158568595746637,-1.3768574839465053
EXT1_EXTL1,-0.6013920263971504,-0.06260553019789412
FAM49A_FAM49B,0.4547080621786131,0.3697060826220503
FAM78A_FAM78B,0.32289770040685767,0.22171778181794002
UBALD1_UBALD2,-0.7971600186873085,-1.4252247741920763
FAM102A_FAM102B,-1.7970091032667133,-1.8130603514508012
FAM117A_FAM117B,0.005602674179976454,-0.007866335885181213
MVB12A_MVB12B,-1.9652985775287988,-1.8233349659918903
FAM126A_FAM126B,0.15687406721865912,0.019025295005369782
FAM160A1_FAM160A2,-1.5190842225777155,-1.8179605858473284
FAM160B1_FAM160B2,1.0730370077121059,1.241257360412398
FAM161A_FAM161B,-1.5390599053210896,-1.3688240292914813
FARP1_FARP2,-0.3168892319325004,-0.5230317061189332
FBLIM1_ZYX,1.2685596313121805,1.5549268972755501
FBN1_FBN2,1.163886889681152,1.080992365014768
FBXO25_FBXO32,-1.0422397398512904,-0.8608318952774365
FEM1A_FEM1C,0.5574894279663543,-0.3239726561978569
FER_FES,1.1752698905848329,1.7251836204157807
FGF1_FGF2,-0.6835761065948699,-0.13200583428723048
FHOD1_FHOD3,0.33922233539882013,-0.11496864497227836
FLNB_FLNC,0.2387158211476555,0.13811351993842153
FMN1_FMN2,1.4976984666497604,1.6905013332081487
FNDC3A_FNDC3B,-0.5998545314059269,-0.5527398214471965
FOXF1_FOXF2,-1.1155256906293687,-1.3708383124940546
FOXK1_FOXK2,-1.0236293515092734,-1.2158149494284933
FOXN2_FOXN3,0.8711263701392276,0.0913192363151383
FSCN1_FSCN2,1.8064742410592682,0.9515183105194505
FST_FSTL3,-1.0588548045122856,-1.791887539778461
FUBP1_FUBP3,1.816611169736761,1.520219831502444
FUCA1_FUCA2,0.28196446378987183,0.13715962331259393
FUNDC1_FUNDC2,-1.1942383188449193,-0.737316535824883
GALNT10_GALNTL6,-0.2125270679665135,-0.43537977550156953
GATAD2A_GATAD2B,1.1288680538378153,0.6347223940025835
GDPD1_GDPD3,0.052626909897057615,-0.795380242804413
GFOD1_GFOD2,0.23785504878289326,-0.057006631531494975
GLIS1_GLIS3,0.09043371853191196,-0.08262894460200922
GMFB_GMFG,-0.6144638436408504,-0.3504876556530041
GNA11_GNAQ,-1.2879157288859524,-1.0705951925230337
GNA12_GNA13,-0.9915970294726544,-1.8104850074593337
GNAL_GNAS,0.9374352863493224,0.8840195144967701
GNB1_GNB4,1.4758640063994277,2.1267331999297934
GNL3_GNL3L,0.14716258237674257,-0.2817118357776129
GNPDA1_GNPDA2,-1.2267918572416767,-0.5344429725431821
GOLGA7_GOLGA7B,-0.022495876587569897,0.46292554756069004
GPATCH2_GPATCH2L,-0.17729692610725423,-0.47875832650326117
GPC1_GPC6,0.9774278521867714,1.0587181514947313
GPR137_GPR137C,-0.2141828302788856,-0.40739179070463
GPSM1_GPSM2,-0.695435549893424,-1.08234517985588
GREB1_GREB1L,-0.9177558600199388,-0.5646083954576703
GRPEL1_GRPEL2,1.3806280057794889,1.0005915856747218
H2AFY_H2AFY2,-1.093240776636394,-0.7890301491262339
HEATR5A_HEATR5B,1.1310312673704768,1.0792216004345263
HERC3_HERC4,-0.6835465889137322,-0.11790507382788573
HEXA_HEXB,1.4994242065721506,1.4771050881683079
HIP1_HIP1R,-1.5877088287118029,-1.84677599709189
HNRNPF_HNRNPH3,-1.6092586969204938,-1.07112089119997
HNRNPR_SYNCRIP,0.5826987542225414,0.5862853719295708
HOOK1_HOOK2,1.7883114268122642,1.5460578322232885
HOXA2_HOXB2,0.7931762916185703,0.6960061024499387
HOXA7_HOXB7,-0.39268249083793133,-0.47355449172431546
HPCAL4_VSNL1,-1.413178954726574,-1.4107407869951194
HSF1_HSF4,0.47700949868427306,0.3251036173476425
HSP90AA1_HSP90AB1,1.1560903906102291,0.49506836079580213
HSPA12A_HSPA12B,0.3653426841879813,-0.19626422057503867
ICA1_ICA1L,1.7580607153089602,1.7711933070684087
ID1_ID2,0.2307117841374134,-0.1072368753317404
IFRD1_IFRD2,-0.7483210185617313,-1.5087231689908691
IGF2BP1_IGF2BP3,0.7687271031611512,0.3355153819855936
IL16_PDZD2,-0.9530688319119577,-1.2453030475612605
IMPDH1_IMPDH2,-0.5704559214559326,-0.7461053328529873
INPP4A_INPP4B,0.7351294996506781,0.8538638340984565
ISL1_ISL2,0.6722741032686258,0.6978720876494124
ITCH_WWP2,-0.006234822571985053,0.07423843860036126
ITGA4_ITGA9,-1.0192239616648981,-0.9268739162891929
JAG1_JAG2,0.06043323123611855,0.11561312212726563
KCND2_KCND3,-0.6191655465902872,-0.5873430991187556
KCTD2_KCTD5,-1.5008950335695495,-1.7814211087472616
KDM2A_KDM2B,-0.7740034600419894,-0.4374748228126047
KHDRBS1_KHDRBS3,1.535631798241309,1.8344550956481243
KIAA1217_SRCIN1,0.8979993844901133,0.6578576644846836
KIF1B_KIF1C,-1.8014160412926503,-1.424833673251404
KIF5B_KIF5C,0.16824435945939795,0.5371102094631484
KIF16B_STARD9,-0.18676681705941553,0.178875765045671
KIFC2_KIFC3,0.48893496216642013,0.44686118061784497
KLF10_KLF11,1.8410895816101955,0.7840717347850515
KLF13_KLF9,-1.5820683764713324,-1.5989150756002384
KLHL2_KLHL3,-1.100338103364244,-1.1525476158093708
KLHL11_KLHL23,0.17757790295742332,-0.5496995458767292
KLHL26_KLHL9,0.09479192240722266,0.09451199610075676
KSR1_KSR2,-0.46463717728175813,-0.48228287887096544
LARP1_LARP1B,1.8433389082311649,0.9362269247162056
LBX1_LBX2,-0.19838509729108297,-0.4979827893226785
LCOR_LCORL,0.6977860376395995,1.0459202951872795
LDB1_LDB2,-0.7657792541719101,-0.5455639463051556
LDHA_LDHB,-1.2803320703205827,-1.6266845305771696
LDHA_LDHC,0.6254708217374225,0.4998368700081155
LDHB_LDHC,-0.18309436474825036,-0.7969088438467126
LETM1_LETM2,-0.6772692799963536,-0.7432249608592306
LHX2_LHX9,1.119630448087518,1.1306756310719877
LHX6_LHX8,0.6458484924454216,0.9802617705792651
LIMCH1_LMO7,-1.3066425501687327,-1.4196966896270116
LIMK1_LIMK2,-1.5578520503490099,-1.8061146570402038
LIN28A_LIN28B,0.9120164601319203,1.1055275851583664
LLGL1_LLGL2,-0.25246501403781485,-0.030426199592173984
LMBR1_LMBR1L,-1.0802229708996274,-0.5712380280785523
LMCD1_TES,-0.8657762993382836,-0.6893350248513894
LPP_TRIP6,0.4106450499502498,0.05434261479633973
PLPPR3_PLPPR4,-1.339584195877945,-1.1256047536562168
LRBA_NBEA,0.17083303593150645,0.011510795127722616
LRP1_LRP1B,-0.7578196137971419,-1.1382376498991045
LRRC1_SCRIB,-0.526362816166927,-0.1725404294620467
LSM14A_LSM14B,-1.6249448026007762,-1.557383418349752
LYPLA1_LYPLA2,0.43911937344995494,-0.055123876842902264
LYSMD3_LYSMD4,0.23961929085916242,-0.313261606253173
MAB21L1_MAB21L2,0.30633249186311035,-0.108696124502198
MACROD1_MACROD2,0.059860438073809065,0.40244480994036974
MAGT1_TUSC3,-1.3645405903885943,-1.5310095580015064
MAN1A1_MAN1C1,0.4127885013418097,0.162067140560236
MAN2A1_MAN2A2,1.7528654391226317,1.6811232246569217
MAP2K1_MAP2K2,-0.7127931038456145,-0.6370296308670975
MAP2K3_MAP2K6,-0.36379069747198195,-0.034311963600516394
MAP3K2_MAP3K3,-0.20077269018872904,-0.2584677596272249
MAPKBP1_WDR62,1.4433248056133527,0.8224804407675259
MARCH2_MARCH3,-0.04596837337258987,0.20393638010154283
MAT1A_MAT2A,1.1673117048322121,1.3376785890787817
MBD2_MBD3,1.2766654228764664,1.5668823986668858
MBNL1_MBNL2,0.09440714959210764,-0.45244591905877285
